BinLocationName,ArticleSKU
FK01-1-A,DRY-00-142002-5
FK01-1-B,PCK-00-102736-5
FK01-2-A,DAI-11-100318-5
FK01-2-B,PCK-00-102737-5
FK01-3-A,PHF-11-10074-3
FK01-3-B,SPI-00-50084-5
FK01-4-A,DAI-11-100317-5
FK01-4-B,SPI-00-138740-5
FK01-5-A,PHF-11-10107-3
FK01-5-B,SPI-00-50085-5
FK01-6-A,SPI-00-90518-5
FK01-6-B,SPI-00-138739-5
FK01-7-A,PHF-11-10359-3
FK01-7-B,SPI-00-50086-5
FK01-8-A,PHF-11-10848-3
FK01-8-B,PHF-11-10791-3
FK02-1-A,PHF-11-132608-5
FK02-1-B,SPI-00-131931-5
FK02-2-A,DRY-00-10031-5
FK02-2-B,SPI-00-140277-5
FK02-3-A,PHF-11-10122-3
FK02-3-B,SPI-00-131930-5
FK02-4-A,PHF-11-10107-3
FK02-4-B,PHF-11-102520-3
FK02-5-A,PHF-11-10124-3
FK02-5-B,SPI-00-125403-5
FK02-6-A,PRO-00-135168-5
FK02-6-B,PHF-11-10650-3
FK02-7-A,SPI-00-125402-5
FK02-7-B,PRO-00-137168-5
FK02-8-A,PRO-00-137169-5
FK02-8-B,SPI-00-140276-5
FK03-1-A,PHF-11-10124-3
FK03-1-B,PCK-00-102736-5
FK03-2-A,PHF-11-10074-3
FK03-3-A,PHF-11-10122-3
FK03-3-B,SPI-00-105815-5
FK03-4-A,PHF-11-132610-5
FK03-4-B,PRO-00-90565-5
FK03-5-A,PHF-11-132608-5
FK03-5-B,PHF-11-10791-3
FK03-6-A,PHF-11-10322-3
FK03-6-B,PRO-00-10064-5
FK03-7-A,PHF-11-10126-3
FK03-7-B,PHF-11-117329-3
FK03-8-A,PHF-11-10359-3
FK03-8-B,PHF-11-10299-3
FK04-1-A,PHF-11-10124-3
FK04-1-B,PRO-00-10716-5
FK04-2-A,SPI-00-90492-5
FK04-2-B,PCK-00-102737-5
FK04-3-A,PHF-11-10126-3
FK04-3-B,SPI-00-90493-5
FK04-4-A,PHF-11-10101-3
FK04-4-B,PRO-00-115524-5
FK04-5-A,PHF-11-132608-5
FK04-5-B,DRY-00-140908-5
FK04-6-A,PRO-00-136069-5
FK04-6-B,PRO-00-50292-5
FK04-7-A,PHF-11-102520-3
FK04-7-B,BAK-00-50254-5
FK04-8-A,PRO-00-136068-5
FK04-8-B,DRY-00-142139-5
FK05-1-A,PRO-00-10147-5
FK05-1-B,PHF-11-10164-3
FK05-2-A,PHF-11-132611-5
FK05-2-B,SPI-00-11640-5
FK05-3-A,PRO-00-002386-5
FK05-3-B,PRO-00-122654-5
FK05-4-A,PHF-11-10217-3
FK05-4-B,PHF-11-102520-3
FK05-5-A,DRY-00-10474-5
FK05-5-B,PHF-11-132590-3
FK05-6-A,PHF-11-10433-3
FK05-6-B,PHF-11-10767-3
FK05-7-A,DRY-00-10277-5
FK05-7-B,PRO-00-122655-5
FK05-8-A,PHF-11-00001-3
FK05-8-B,PRO-00-137169-5
FK05-9-A,PHF-11-00005-3
FK05-9-B,PRO-00-122656-5
FK05-10-A,DRY-00-10012-5
FK05-10-B,PRO-00-137168-5
FK06-1-A,PHF-11-10304-3
FK06-1-B,SPI-00-12021-5
FK06-2-A,PHF-11-132611-5
FK06-2-B,SPI-00-139093-5
FK06-3-A,PHF-11-132613-5
FK06-3-B,SPI-00-11653-5
FK06-4-A,PHF-11-10303-3
FK06-4-B,SPI-00-11574-5
FK06-5-A,DAI-11-100317-5
FK06-5-B,SPI-00-90509-5
FK06-6-A,PHF-11-00016-3
FK06-6-B,SPI-00-139094-5
FK06-7-A,DAI-11-100318-5
FK06-7-B,PHF-11-10650-3
FK06-8-A,PHF-11-10187-3
FK06-8-B,PHF-11-10704-3
FK06-9-A,PHF-11-10298-3
FK06-9-B,SPI-00-90510-5
FK06-10-A,PRO-00-144193-5
FK06-10-B,SPI-00-11573-5
FK07-1-A,PHF-11-132613-5
FK07-1-B,PCK-00-102736-5
FK07-2-A,DRY-00-10470-5
FK07-2-B,PHF-11-10164-3
FK07-3-A,DAI-00-136109-5
FK07-3-B,SPI-00-50086-5
FK07-4-A,PHF-11-132611-5
FK07-4-B,SPI-00-90519-5
FK07-5-A,PHF-11-10322-3
FK07-5-B,SPI-00-50085-5
FK07-6-A,PHF-11-10074-3
FK07-6-B,SPI-00-90520-5
FK07-7-A,DRY-00-10468-5
FK07-7-B,PHF-11-10864-3
FK07-8-A,PRO-00-90459-5
FK07-8-B,PRO-00-50340-5
FK07-9-A,DRY-00-10478-5
FK07-9-B,SPI-00-90518-5
FK07-10-A,PRO-00-90460-5
FK07-10-B,SPI-00-50084-5
FK08-1-A,PRO-00-10736-5
FK08-1-B,PCK-00-102736-5
FK08-2-A,PHF-11-132611-5
FK08-2-B,SPI-00-11574-5
FK08-3-A,PHF-11-10404-3
FK08-3-B,DRY-00-003334-5
FK08-4-A,PRO-00-10731-5
FK08-4-B,SPI-00-12021-5
FK08-5-A,PRO-00-10730-5
FK08-5-B,SPI-00-90523-5
FK08-6-A,PHF-11-10164-3
FK08-6-B,SPI-00-90508-5
FK08-7-A,PHF-11-132613-5
FK08-7-B,SPI-00-90522-5
FK08-8-A,PRO-00-90576-5
FK08-8-B,DRY-00-003335-5
FK08-9-A,DRY-00-003336-2
FK08-9-B,SPI-00-11573-5
FK08-10-A,PHF-11-10299-3
FK08-10-B,PRO-00-90541-5
FK09-1-A,PRO-00-10147-5
