Packaging Info,Ingredient,SKU
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
02 Kühlpflichtig,Tortelloni Spinat und Ricotta (450g) #16270,DRY-00-138388-3
03 Meal Kit,Hühnerbrühe (8g),SPI-00-50299-5
03 Meal Kit,Kochsahne 15% (300g),DAI-11-100318-5
02 Kühlpflichtig,Hartkäse ital. Art gerieben (20g) [VEG],DAI-00-50213-2
02 Kühlpflichtig,Hartkäse ital. Art gerieben (40g) [VEG],DAI-00-10141-2
04 Assembly,Buschbohnen (150g),PHF-11-11292-3
02 Kühlpflichtig,Krustenschinken (120g) [QS],PTN-11-90548-2
03 Meal Kit,Kartoffel Drillinge (600g),PHF-11-10117-3
03 Meal Kit,Petersilie glatt /Dill (10g),PHF-11-10794-3
03 Meal Kit,Gemüsezwiebel rot (100g),PHF-11-132613-5
03 Meal Kit,Sojasauce 20ml - (V),PRO-00-137168-5
03 Meal Kit,Bio Souflaki Gewürzmischung (6g),SPI-00-50342-5
03 Meal Kit,Vegane Mayonnaise (25g),PRO-00-90565-5
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
02 Kühlpflichtig,Veganes cremiges Sojaprodukt (100g),DAI-00-100365-3
02 Kühlpflichtig,"Bio Schweinefilet (250g) (4x62,5g)",PTN-11-134467-1
03 Meal Kit,Gurke (300g),PHF-11-10912-3
03 Meal Kit,Senf mittelscharf (10ml) [V],PRO-00-10064-5
03 Meal Kit,Gemüsebrühe (6g),SPI-00-11574-5
03 Meal Kit,Vegetarisches Calabrese Pesto (50g),PRO-00-90569-5
03 Meal Kit,Gemüsezwiebel gelb (70g),PHF-11-132610-5
02 Kühlpflichtig,Hartkäse ital. Art gerieben (40g) [VEG],DAI-00-10141-2
02 Kühlpflichtig,Frischecreme 13% (150g),DAI-00-131995-3
04 Assembly,Babyspinat (150g),PHF-11-11290-3
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Standardtomate (100g),PHF-11-10299-3
03 Meal Kit,Conchiglie (360g) [V],DRY-00-148894-5
03 Meal Kit,Pinienkerne roh ganz (10g),SPI-00-12074-5
03 Meal Kit,Chilischote rot (15g),PHF-11-10042-3
03 Meal Kit,Frühlingszwiebel einzeln (15-35g) [gekürzt],PHF-11-102520-3
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Weizentortillas 20cm 6er pack 6 x 40g 240g - (V),BAK-00-147472-5
03 Meal Kit,Hello Kokos Curry (2g),SPI-00-90494-5
03 Meal Kit,Rote Bohnen Kidney (380g) [V],PRO-00-10736-5
03 Meal Kit,Kokosmilch (180ml) [V],PRO-00-002386-5
02 Kühlpflichtig,Hähnchengeschnetzeltes in Lake (375g) [QS],PTN-11-101344-2
03 Meal Kit,Limette vegan (75g),PHF-11-00004-3
03 Meal Kit,Kokos Flocken (6g),SPI-00-11650-5
04 Assembly,Porree (200g),PHF-11-50154-3
03 Meal Kit,Kokosmilch (250ml) [V],PRO-00-10147-5
03 Meal Kit,Gehackte Tomaten in Tomatensaft (Polpa) (390g) [V],PRO-00-10757-5
03 Meal Kit,Basmatireis (150g) [V],DRY-00-10012-5
03 Meal Kit,Gemüsebrühe (4g),SPI-00-11573-5
03 Meal Kit,Paprika multicolor (180g),PHF-11-00005-3
03 Meal Kit,Koriander/Petersilie glatt (10g),PHF-11-10704-3
03 Meal Kit,Chipotle Paste (20g),PRO-00-136070-5
03 Meal Kit,Tomatenmark (35g) [V],PRO-00-117125-5
03 Meal Kit,Gemüsemais (140g) [V],PRO-00-10730-5
02 Kühlpflichtig,Young cheddar (50g),DAI-00-150292-3
02 Kühlpflichtig,Bio Feta (150g),DAI-00-147915-3
02 Kühlpflichtig,Bio Saure Sahne (100g),DAI-11-116335-3
03 Meal Kit,Aprikosen Chutney (50g) [V],PRO-00-90458-5
03 Meal Kit,Limette (75g),PHF-11-10404-3
03 Meal Kit,Rote Bohnen Kidney (380g) [V],PRO-00-10736-5
03 Meal Kit,Rote Bohnen Kidney (380g) [V],PRO-00-10736-5
03 Meal Kit,Aprikosen Chutney (50g) [V],PRO-00-90458-5
03 Meal Kit,Limette (75g),PHF-11-10404-3
03 Meal Kit,Paprika multicolor (180g),PHF-11-00005-3
03 Meal Kit,Gemüsemais (285g) [V],PRO-00-10731-5
02 Kühlpflichtig,Bio Feta (150g),DAI-00-147915-3
02 Kühlpflichtig,Young cheddar (100g),DAI-00-150290-3
02 Kühlpflichtig,Bio Saure Sahne (200g),DAI-11-116336-3
03 Meal Kit,Koriander/Petersilie glatt (10g),PHF-11-10704-3
03 Meal Kit,Chipotle Paste (20g),PRO-00-136070-5
03 Meal Kit,Gemüsebrühe (8g),SPI-00-12021-5
03 Meal Kit,Tomatenmark (35g) [V],PRO-00-117125-5
03 Meal Kit,Basmatireis (300g) [V],DRY-00-10277-5
03 Meal Kit,Balsamico Creme (12g) [V],PRO-00-10716-5
03 Meal Kit,"Avocado, Hass 180g",PHF-11-150274-5
04 Assembly,Babyspinat (100g),PHF-11-10013-3
02 Kühlpflichtig,[Labeled] Lachsfilet (3x150g) (450g),PTN-11-149156-2
03 Meal Kit,Bio Oatly Cuisine (250ml),DAI-00-136109-5
03 Meal Kit,Hefeflocken (5g),SPI-00-002728-5
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Getrocknete Tomaten mit Kräutern (100g) [V],PRO-00-122656-5
03 Meal Kit,Spaghetti (500g) [V],DRY-00-001704-5
03 Meal Kit,Pinienkerne roh ganz (20g),SPI-00-101536-5
03 Meal Kit,Basilikum Paste (24ml) [V],PRO-00-10755-3
03 Meal Kit,Milder Chili Mix (4g),SPI-00-125403-5
03 Meal Kit,Pankomehl (50g),DRY-00-142139-5
03 Meal Kit,Hühnerbrühe (6g),SPI-00-50298-5
02 Kühlpflichtig,Hartkäse ital. Art gerieben (40g) [VEG],DAI-00-10141-2
03 Meal Kit,Gehackte Tomaten in Tomatensaft (Polpa) (390g) [V],PRO-00-10757-5
04 Assembly,Skipjack Thunfisch im eigenen Saft (160g),PTN-00-50231-5
04 Assembly,Porree (200g),PHF-11-50154-3
03 Meal Kit,Kapern eingelegt (35g) [V],PRO-00-13017-5
03 Meal Kit,Hello Buon Appetito (6g),SPI-00-90514-5
02 Kühlpflichtig,Frische Linguini (375g) [V],DRY-00-50074-2
03 Meal Kit,Balsamico Creme (12g) [V],PRO-00-10716-5
03 Meal Kit,Pankomehl (25g),DRY-00-140908-5
03 Meal Kit,Pinienkerne roh ganz (10g),SPI-00-12074-5
03 Meal Kit,Spaghetti (270g) [V],DRY-00-001702-5
03 Meal Kit,Getrocknete Tomaten mit Kräutern (50g) [V],PRO-00-122654-5
04 Assembly,Babyspinat (50g),PHF-11-10019-3
03 Meal Kit,Bio Oatly Cuisine (250ml),DAI-00-136109-5
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Milder Chili-Mix (2g),SPI-00-125402-5
03 Meal Kit,Basilikum Paste (24ml) [V],PRO-00-10755-3
03 Meal Kit,"Avocado, Hass 180g",PHF-11-150274-5
02 Kühlpflichtig,Bio Hähnchenbruststreifen (250g),PTN-11-148022-3
03 Meal Kit,Hefeflocken (5g),SPI-00-002728-5
02 Kühlpflichtig,Bio Creme Fraiche 30% (100g),DAI-11-125283-3
03 Meal Kit,Estragon (10g),PHF-11-10650-3
03 Meal Kit,Kartoffeln vorwiegend festkochend (750g),PHF-11-132608-5
02 Kühlpflichtig,Bio Hähnchenbrustfilet (250g),PTN-11-148018-3
03 Meal Kit,"Mandeln blanchiert, gehobelt, 20g",SPI-00-140277-5
03 Meal Kit,Karotte ohne Strunk orange (100g),PHF-11-10107-3
02 Kühlpflichtig,Bio Hähnchenbrustfilet (250g),PTN-11-148018-3
03 Meal Kit,Kartoffeln vorwiegend festkochend (400g),PHF-11-10122-3
03 Meal Kit,Estragon (10g),PHF-11-10650-3
03 Meal Kit,Karotte ohne Strunk orange (100g),PHF-11-10107-3
02 Kühlpflichtig,Bio Creme Fraiche 30% (100g),DAI-11-125283-3
03 Meal Kit,"Mandeln blanchiert, gehobelt, 20g",SPI-00-140277-5
03 Meal Kit,"Sojasauce, salzreduziert (20ml)",PRO-00-144193-5
03 Meal Kit,Karotte ohne Strunk orange (100g),PHF-11-10107-3
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
02 Kühlpflichtig,"Bio Schweinefilet (250g) (4x62,5g)",PTN-11-134467-1
03 Meal Kit,Weizenmehl (250g) [Typ 405],DRY-00-140379-5
03 Meal Kit,Sesamöl (10ml) [V],PRO-00-115591-5
03 Meal Kit,Milder Chili-Mix (2g),SPI-00-125402-5
03 Meal Kit,"Hoisin Sauce, 30g  (V)",PRO-00-139638-5
03 Meal Kit,Gemüsezwiebel gelb (100g),PHF-11-10074-3
04 Assembly,Frühlingszwiebel (120g) [1 Bund],PHF-11-10068-3
02 Kühlpflichtig,Bio Sahnejoghurt mild (100g),DAI-11-125531-3
03 Meal Kit,Gemüsezwiebel rot (70g),PHF-11-132611-5
03 Meal Kit,Radieschen (150g),PHF-11-00001-3
03 Meal Kit,Basmatireis (150g) [V],DRY-00-10012-5
